taxid	german_name	latin_name	database_sequences	amplified_sequences	best_observed_ranks	status
4442	Tee	Camellia sinensis	1	0	not resolved	In database, not amplified
271192	Anis	Pimpinella anisum	0	0	not resolved	Missing from database
3750	Apfel	Malus domestica	1	0	not resolved	In database, not amplified
3752	Apfel	Malus sylvestris	1	0	not resolved	In database, not amplified
38860	Apfelminze	Mentha suaveolens	1	0	not resolved	In database, not amplified
661339	Aronia	Aronia melanocarpa	0	0	not resolved	Missing from database
155231	Griechisches Eisenkraut	Sideritis spp.	0	0	not resolved	Missing from database
3500	Brennnessel	Urtica spp.	0	0	not resolved	Missing from database
211815	Brombeere	Rubus fruticosus	0	0	not resolved	Missing from database
714495	Brombeere, süß	Rubus chingii	2	0	not resolved	In database, not amplified
13750	Cranberry	Vaccinium macrocarpon	1	0	not resolved	In database, not amplified
3747	Erdbeere	Fragaria x ananassa 	1	0	not resolved	In database, not amplified
34317	Eukalyptus	Eucalyptus globulus	0	0	not resolved	Missing from database
4222	Färberdistel/Saflor	Carthamus tinctorius	1	0	not resolved	In database, not amplified
2849586	Fenchel	Foeniculum vulgare	1	0	not resolved	In database, not amplified
41492	Gänseblümchen	Bellis perennis	0	0	not resolved	Missing from database
3311	Ginkgo	Ginkgo biloba	0	0	not resolved	Missing from database
4054	Ginseng	Panax ginseng	1	1	family	Amplified — broader/unresolved
37656	Grapefruit	Citrus paradisi	1	0	not resolved	In database, not amplified
74635	Hagebutte	Rosa canina	1	0	not resolved	In database, not amplified
13451	Haselnuss	Corylus avellana	1	0	not resolved	In database, not amplified
180763	Heidelbeere, Blaubeere	Vaccinium myrtillus	1	0	not resolved	In database, not amplified
183260	Hibiskus	Hibiscus sabdariffa	0	0	not resolved	Missing from database
32247	Himbeere	Rubus idaeus	0	0	not resolved	Missing from database
4202	Holunder	Sambucus nigra	1	1	genus	Amplified — genus or finer
70073	Honigbusch	Cyclopia genistoides	0	0	not resolved	Missing from database
384038	Honigbusch	Cyclopia intermedia	0	0	not resolved	Missing from database
337842	Honigbusch	Cyclopia sessiliflora	0	0	not resolved	Missing from database
155109	Honigbusch	Cyclopia subternata	0	0	not resolved	Missing from database
94328	Ingwer	Zingiber officinale	1	0	not resolved	In database, not amplified
126433	Jasmin	Jasminum officinale	0	0	not resolved	Missing from database
78511	Johannisbeere	Ribes nigrum	1	0	not resolved	In database, not amplified
127986	Kamille	Matricaria recutita	0	0	not resolved	Missing from database
261776	Katzenpfötchen	Helichrysum arenarium	0	0	not resolved	Missing from database
41522	Kornblume	Centaurea cyanus	1	0	not resolved	In database, not amplified
29719	Krauseminze/Minze	Mentha spicata	1	0	not resolved	In database, not amplified
69266	Kulturheidelbeere	Vaccinium corymbosum	1	0	not resolved	In database, not amplified
159033	Limette/Limone	Citrus x aurantiifolia	1	0	not resolved	In database, not amplified
172266	Linde	Tilia cordata	1	0	not resolved	In database, not amplified
82423	Linde	Tilia platyphyllos	1	0	not resolved	In database, not amplified
121718	Linde	Tilia tomentosa	1	0	not resolved	In database, not amplified
50225	Löwenzahn	Taraxacum officinale	1	0	not resolved	In database, not amplified
145754	Malve	Malva sylvestris	0	0	not resolved	Missing from database
85571	Mandarine	Citrus reticulata	1	0	not resolved	In database, not amplified
97441	Märzveilchen	Viola odorata	0	0	not resolved	Missing from database
39338	Melisse	Melissa officinalis	1	0	not resolved	In database, not amplified
2711	Orange	Citrus sinensis	1	0	not resolved	In database, not amplified
34256	Pfefferminze	Mentha x piperita	1	0	not resolved	In database, not amplified
69717	Pfingstrose	Paeonia officinalis	0	0	not resolved	Missing from database
43166	Pomeranze	Citrus aurantium	1	0	not resolved	In database, not amplified
41496	Ringelblume	Calendula officinalis	1	0	not resolved	In database, not amplified
984867	Rittersporn	Consolida regalis	0	0	not resolved	Missing from database
155124	Rooibos/Rotbusch	Aspalathus linearis	0	0	not resolved	Missing from database
3764	Rose	Rosa spp.	0	0	not resolved	Missing from database
38868	Salbei	Salvia officinalis	1	0	not resolved	In database, not amplified
193516	Sanddorn	Hippophae rhamnoides	1	0	not resolved	In database, not amplified
4232	Sonnenblume	Helianthus annuus	1	0	not resolved	In database, not amplified
214053	Stiefmütterchen	Viola tricolor	1	0	not resolved	In database, not amplified
55670	Stevia	Stevia rebaudiana	1	0	not resolved	In database, not amplified
49827	Süßholz	Glycyrrhiza glabra	1	0	not resolved	In database, not amplified
51240	Walnuss	Juglans regia	1	0	not resolved	In database, not amplified
13427	Zichorie	Cichorium intybus	1	0	not resolved	In database, not amplified
2708	Zitrone	Citrus x limon	1	0	not resolved	In database, not amplified
66013	Zitronengras	Cymbopogon spp.	0	0	not resolved	Missing from database
925377	Zitronenverbene	Aloysia citriodora	1	0	not resolved	In database, not amplified
392747	Guarana	Paullinia cupana	0	0	not resolved	Missing from database
3641	Kakao	Theobroma Cacao	1	0	not resolved	In database, not amplified
