taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
2708	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus x limon
2709	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus cavaleriei
2711	5	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus sinensis
3240	3	species	Viridiplantae	Streptophyta	Polypodiopsida	Psilotales	Psilotaceae	Psilotum	Psilotum nudum
3258	2	species	Viridiplantae	Streptophyta	Polypodiopsida	Equisetales	Equisetaceae	Equisetum	Equisetum arvense
3271	1	species	Viridiplantae	Streptophyta	Polypodiopsida	Cyatheales	Dicksoniaceae	Dicksonia	Dicksonia antarctica
3285	1	species	Viridiplantae	Streptophyta	Polypodiopsida	Osmundales	Osmundaceae	Osmunda	Osmunda regalis
3300	4	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Encephalartos	Encephalartos altensteinii
3301	5	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Encephalartos	Encephalartos ferox
3302	3	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Encephalartos	Encephalartos arenarius
3304	3	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia pumila
3305	1	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia integrifolia
3307	1	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia inermis
3311	17	species	Viridiplantae	Streptophyta	Ginkgoopsida	Ginkgoales	Ginkgoaceae	Ginkgo	Ginkgo biloba
3322	4	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Cedrus	Cedrus deodara
3329	1	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea abies
3333	2	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea rubens
3335	3	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea mariana
3341	4	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus wallichiana
3348	4	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus strobus
3349	2	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus sylvestris
3350	2	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus thunbergii
3355	3	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pseudolarix	Pseudolarix amabilis
3366	1	species	Viridiplantae	Streptophyta	Pinopsida	Araucariales	Podocarpaceae	Podocarpus	Podocarpus henkelii
3377	3	species	Viridiplantae	Streptophyta	Gnetopsida	Welwitschiales	Welwitschiaceae	Welwitschia	Welwitschia mirabilis
3381	5	species	Viridiplantae	Streptophyta	Gnetopsida	Gnetales	Gnetaceae	Gnetum	Gnetum montanum
3382	9	species	Viridiplantae	Streptophyta	Gnetopsida	Gnetales	Gnetaceae	Gnetum	Gnetum gnemon
3383	2	species	Viridiplantae	Streptophyta	Gnetopsida	Gnetales	Gnetaceae	Gnetum	Gnetum ula
3388	1	species	Viridiplantae	Streptophyta	Gnetopsida	Ephedrales	Ephedraceae	Ephedra	Ephedra kokanica
3389	10	species	Viridiplantae	Streptophyta	Gnetopsida	Ephedrales	Ephedraceae	Ephedra	Ephedra distachya
3396	12	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	Cycas revoluta
3397	6	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	Cycas circinalis
3406	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Magnolia	Magnolia grandiflora
3419	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Canellales	Winteraceae	Drimys	Drimys winteri
3429	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Laurales	Calycanthaceae	Calycanthus	Calycanthus floridus
3431	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Laurales	Calycanthaceae	Calycanthus	Calycanthus chinensis
3442	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Coptis	Coptis japonica
3447	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	Ranunculus acris
3469	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Papaveraceae	Papaver	Papaver somniferum
3483	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Cannabis	Cannabis sativa
3485	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus japonicus
3486	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus
3489	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Artocarpus	Artocarpus heterophyllus
3492	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Artocarpus	Artocarpus tonkinensis
3494	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Ficus	Ficus carica
3496	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Maclura	Maclura pomifera
3498	38	species	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Morus	Morus alba
3505	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Betula	Betula pendula
3512	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus rubra
3516	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus incana
3517	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus glutinosa
3518	1	subspecies	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus alnobetula
3523	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Casuarinaceae	Casuarina	Casuarina equisetifolia
3527	33	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Phytolaccaceae	Phytolacca	Phytolacca americana
3528	14	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Phytolaccaceae	Phytolacca	Phytolacca acinosa
3538	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Mirabilis	Mirabilis jalapa
3541	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea glabra
3552	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Atriplex	Atriplex rosea
3559	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Chenopodium	Chenopodium album
3562	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Spinacia	Spinacia oleracea
3589	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Basellaceae	Basella	Basella alba
3617	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Fagopyrum	Fagopyrum esculentum
3619	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rumex	Rumex obtusifolius
3625	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia chinensis
