task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	a7/0b6846	1007735	BARBEQUE:STAGE_SAMPLESHEET (1)	CACHED	0	2026-08-04 12:06:59.003	1.5s	5ms	115.4%	0	0	68.4 KB	238 B
5	b2/58be11	1817735	BARBEQUE:OBIPCR_INSILICOPCR (PCR_ITS1|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:28:56.347	1.5s	197ms	338.1%	159.3 MB	4.2 GB	14.2 MB	1015 B
6	74/bb577c	1818195	BARBEQUE:OBIPCR_INSILICOPCR (PCR_ITS2|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:28:57.901	1.5s	186ms	348.7%	191 MB	4.5 GB	14.3 MB	62.7 KB
7	77/5c54c5	1818270	BARBEQUE:PARSE_OBIPCR (PCR_ITS1|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:28:58.918	1.5s	174ms	48.4%	7.4 MB	17.8 MB	726.3 KB	1.2 KB
4	69/24ba1b	1818644	BARBEQUE:OBIPCR_INSILICOPCR (ITS1_ITS2_White1990|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:28:59.414	1.4s	185ms	364.1%	95.2 MB	3.2 GB	14.2 MB	1015 B
10	0f/325cad	1818994	BARBEQUE:AMPLICON_LENGTH (PCR_ITS2|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:29:00.380	1.3s	65ms	125.0%	3.3 MB	6.8 MB	100.8 KB	2.7 KB
3	d5/a938be	1819237	BARBEQUE:OBIPCR_INSILICOPCR (ITS2_collapsed|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:29:00.871	1.5s	192ms	371.9%	158.2 MB	4.2 GB	14.3 MB	156 KB
9	9c/eb27e0	1819602	BARBEQUE:PARSE_OBIPCR (PCR_ITS2|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:29:01.718	1.4s	48ms	112.9%	3.3 MB	6.8 MB	740.4 KB	14.8 KB
8	8b/f6c740	1819836	BARBEQUE:VSEARCH_CLUSTER_FAST (PCR_ITS2|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:29:02.386	1.5s	121ms	87.0%	12 MB	677.9 MB	135.6 KB	6.2 KB
11	b5/3ae488	1820153	BARBEQUE:PARSE_OBIPCR (ITS1_ITS2_White1990|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:29:03.092	1.4s	46ms	116.7%	3.2 MB	6.8 MB	726.4 KB	1.2 KB
13	5d/da1b1d	1820330	BARBEQUE:AMPLICON_LENGTH (ITS2_collapsed|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:29:03.892	1.3s	76ms	116.3%	3.2 MB	6.8 MB	113.9 KB	7.7 KB
12	80/ef7c7d	1820327	BARBEQUE:PARSE_OBIPCR (ITS2_collapsed|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:29:03.885	1.3s	50ms	92.3%	13.9 MB	23.1 MB	762.8 KB	35.9 KB
15	9f/c0acd1	1820339	BARBEQUE:PARSE_UC (PCR_ITS2|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:29:03.900	1.3s	20ms	75.0%	0	0	120.8 KB	1.8 KB
14	c4/732530	1821090	BARBEQUE:VSEARCH_CLUSTER_FAST (ITS2_collapsed|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:29:05.226	1.3s	48ms	171.9%	3.3 MB	6.8 MB	148.7 KB	17 KB
16	2b/770ffd	1821536	BARBEQUE:PARSE_UC (ITS2_collapsed|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:29:06.563	1.3s	17ms	85.7%	0	0	132 KB	2.7 KB
1	92/331d99	1817729	BARBEQUE:BUILD_DB_TAXIDS (plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:28:56.331	3m 45s	3m 43s	98.6%	23 MB	86.7 MB	13.1 GB	14.3 MB
18	19/48efd0	1830899	BARBEQUE:JOIN_ACCESSION_TAXONOMY (PCR_ITS2|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:32:41.027	1.4s	49ms	80.0%	3.2 MB	6.8 MB	663.1 KB	1.7 KB
19	1a/5a7dbc	1830907	BARBEQUE:JOIN_ACCESSION_TAXONOMY (ITS2_collapsed|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:32:41.040	1.4s	43ms	96.2%	3.3 MB	6.8 MB	663.6 KB	2.4 KB
21	b2/cf5132	1831338	BARBEQUE:CLUSTER_CONSENSUS (ITS2_collapsed|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:32:42.459	44.1s	42.8s	97.4%	2.3 GB	2.3 GB	637.7 MB	6.7 KB
20	ff/fde307	1831333	BARBEQUE:CLUSTER_CONSENSUS (PCR_ITS2|plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:32:42.454	44.5s	43.2s	97.5%	2.3 GB	2.3 GB	637.7 MB	2.1 KB
17	34/35d463	1830901	BARBEQUE:DB_DISTRIBUTION (plant_itsx_no_detections)	COMPLETED	0	2026-08-06 15:32:41.035	47.6s	46.3s	94.5%	2.3 GB	2.3 GB	685.1 MB	10.9 MB
23	d0/5bdce9	1834694	BARBEQUE:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2026-08-06 15:33:28.794	1.5s	165ms	58.8%	2.4 MB	9.7 MB	841.6 KB	3.8 KB
25	60/3b0a0b	1834903	BARBEQUE:MULTIQC (2)	COMPLETED	0	2026-08-06 15:33:30.312	4.2s	2.8s	89.4%	100.1 MB	1.6 GB	51 MB	16.8 MB
24	39/ac4528	1834904	BARBEQUE:MULTIQC (1)	COMPLETED	0	2026-08-06 15:33:30.317	4.2s	2.8s	86.7%	100.2 MB	1.6 GB	50.9 MB	16.8 MB
22	10/753587	1834499	INTERACTIVE_RESULTS:STREAMLIT (dashboard)	FAILED	129	2026-08-06 15:33:27.046	5h 24m 13s	3.6s	17.3%	159.2 MB	617.7 MB	16.8 MB	440 B
