task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	a7/0b6846	1007735	BARBEQUE:STAGE_SAMPLESHEET (1)	CACHED	0	2026-08-04 12:06:59.003	1.5s	5ms	115.4%	0	0	68.4 KB	238 B
5	8d/adc56f	1453803	BARBEQUE:OBIPCR_INSILICOPCR (PCR_ITS1|teeliste_ITS2_plus_25bp_flanks)	COMPLETED	0	2026-08-05 14:52:52.496	1.7s	96ms	261.7%	19.7 MB	1.6 GB	1.2 MB	1 KB
6	83/6f4667	1454173	BARBEQUE:OBIPCR_INSILICOPCR (PCR_ITS2|teeliste_ITS2_plus_25bp_flanks)	COMPLETED	0	2026-08-05 14:52:54.172	1.7s	115ms	261.5%	25.7 MB	1.9 GB	1.2 MB	1 KB
7	1a/2b25a9	1454251	BARBEQUE:PARSE_OBIPCR (PCR_ITS1|teeliste_ITS2_plus_25bp_flanks)	COMPLETED	0	2026-08-05 14:52:55.189	1.6s	48ms	107.7%	3.2 MB	6.8 MB	726.3 KB	1.2 KB
4	aa/f2290f	1454616	BARBEQUE:OBIPCR_INSILICOPCR (ITS1_ITS2_White1990|teeliste_ITS2_plus_25bp_flanks)	COMPLETED	0	2026-08-05 14:52:55.857	1.6s	98ms	259.3%	27.4 MB	1.8 GB	1.2 MB	1 KB
8	b1/49796e	1454950	BARBEQUE:PARSE_OBIPCR (PCR_ITS2|teeliste_ITS2_plus_25bp_flanks)	COMPLETED	0	2026-08-05 14:52:56.831	1.6s	50ms	106.1%	3.3 MB	6.8 MB	726.3 KB	1.2 KB
3	2e/19ac2e	1455185	BARBEQUE:OBIPCR_INSILICOPCR (ITS2_collapsed|teeliste_ITS2_plus_25bp_flanks)	COMPLETED	0	2026-08-05 14:52:57.460	1.6s	94ms	301.0%	3.3 MB	6.8 MB	1.2 MB	1 KB
9	cc/6dd816	1455533	BARBEQUE:PARSE_OBIPCR (ITS1_ITS2_White1990|teeliste_ITS2_plus_25bp_flanks)	COMPLETED	0	2026-08-05 14:52:58.438	1.5s	40ms	103.4%	0	0	726.4 KB	1.2 KB
10	e7/111df7	1455891	BARBEQUE:PARSE_OBIPCR (ITS2_collapsed|teeliste_ITS2_plus_25bp_flanks)	COMPLETED	0	2026-08-05 14:52:59.097	1.6s	50ms	119.4%	3.2 MB	6.8 MB	726.4 KB	1.2 KB
1	83/4c67cc	1453797	BARBEQUE:BUILD_DB_TAXIDS (teeliste_ITS2_plus_25bp_flanks)	COMPLETED	0	2026-08-05 14:52:52.485	3m 32s	3m 31s	97.8%	15.6 MB	80.5 MB	13.1 GB	1.7 MB
11	14/54c0ed	1466279	BARBEQUE:DB_DISTRIBUTION (teeliste_ITS2_plus_25bp_flanks)	COMPLETED	0	2026-08-05 14:56:24.984	43.3s	41.6s	98.3%	2.3 GB	2.3 GB	683.8 MB	9.3 MB
12	7e/96bac3	1467964	BARBEQUE:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2026-08-05 14:57:08.384	1.7s	54ms	112.7%	12.5 MB	19.8 MB	840.9 KB	2.5 KB
