task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	53/f16212	1504490	BARBEQUE:OBIPCR_INSILICOPCR (ITS1_ITS2_White1990|sequences)	CACHED	0	2026-08-05 15:46:08.410	5.1s	3.4s	360.6%	787.6 MB	5.6 GB	556.6 MB	312.2 MB
3	a7/0b6846	1007735	BARBEQUE:STAGE_SAMPLESHEET (1)	CACHED	0	2026-08-04 12:06:59.003	1.5s	5ms	115.4%	0	0	68.4 KB	238 B
6	6c/5a0b69	1501958	BARBEQUE:OBIPCR_INSILICOPCR (PCR_ITS2|sequences)	CACHED	0	2026-08-05 15:45:59.489	3.6s	2s	443.5%	660.3 MB	5.2 GB	370 MB	17.7 MB
1	a5/5a0d5d	1501188	BARBEQUE:BUILD_DB_TAXIDS (sequences)	CACHED	0	2026-08-05 15:45:55.929	5m 40s	5m 39s	93.7%	108.7 MB	166.1 MB	13.5 GB	128.5 MB
2	8e/b969d8	1502920	BARBEQUE:OBIPCR_INSILICOPCR (ITS2_collapsed|sequences)	CACHED	0	2026-08-05 15:46:03.090	5.3s	3.6s	378.0%	781.5 MB	5.4 GB	633.3 MB	433.2 MB
5	82/72d25a	1501182	BARBEQUE:OBIPCR_INSILICOPCR (PCR_ITS1|sequences)	CACHED	0	2026-08-05 15:45:55.899	3.6s	1.8s	540.7%	626.7 MB	5.2 GB	422.8 MB	101.5 MB
13	d6/cac33d	1505910	BARBEQUE:AMPLICON_LENGTH (ITS2_collapsed|sequences)	CACHED	0	2026-08-05 15:46:13.539	2.1s	192ms	56.0%	3.2 MB	6.8 MB	43.9 MB	2.3 MB
15	ad/18a44a	1505917	BARBEQUE:PARSE_OBIPCR (ITS1_ITS2_White1990|sequences)	CACHED	0	2026-08-05 15:46:13.561	32.6s	30.8s	97.3%	323.7 MB	335 MB	83.5 MB	53.8 MB
12	6a/c7a393	1505901	BARBEQUE:AMPLICON_LENGTH (PCR_ITS1|sequences)	CACHED	0	2026-08-05 15:46:13.527	2.3s	149ms	39.0%	3.3 MB	6.8 MB	11.6 MB	461.7 KB
10	01/5f6ece	1514022	BARBEQUE:VSEARCH_CLUSTER_FAST (PCR_ITS2|sequences)	CACHED	0	2026-08-05 15:47:38.094	3.6s	2.1s	277.9%	38.4 MB	651.5 MB	2.3 MB	268.7 KB
