taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
2708	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus x limon
2709	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus cavaleriei
2711	45	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus sinensis
3240	39	species	Viridiplantae	Streptophyta	Polypodiopsida	Psilotales	Psilotaceae	Psilotum	Psilotum nudum
3258	14	species	Viridiplantae	Streptophyta	Polypodiopsida	Equisetales	Equisetaceae	Equisetum	Equisetum arvense
3262	11	species	Viridiplantae	Streptophyta	Polypodiopsida	Equisetales	Equisetaceae	Equisetum	Equisetum hyemale
3277	4	species	Viridiplantae	Streptophyta	Polypodiopsida	Polypodiales	Onocleaceae	Matteuccia	Matteuccia struthiopteris
3281	1	species	Viridiplantae	Streptophyta	Polypodiopsida	Polypodiales	Onocleaceae	Onoclea	Onoclea sensibilis
3289	1	species	Viridiplantae	Streptophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Dryopteris	Dryopteris filix-mas
3300	9	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Encephalartos	Encephalartos altensteinii
3301	9	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Encephalartos	Encephalartos ferox
3302	9	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Encephalartos	Encephalartos arenarius
3304	2	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia pumila
3305	5	species	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia integrifolia
3311	12	species	Viridiplantae	Streptophyta	Ginkgoopsida	Ginkgoales	Ginkgoaceae	Ginkgo	Ginkgo biloba
3316	27	species	Viridiplantae	Streptophyta	Pinopsida	Cupressales	Cupressaceae	Thuja	Thuja plicata
3317	7	species	Viridiplantae	Streptophyta	Pinopsida	Cupressales	Cupressaceae	Thuja	Thuja occidentalis
3320	1	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies magnifica
3324	1	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Keteleeria	Keteleeria davidiana
3326	9	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Larix	Larix laricina
3327	7	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Larix	Larix occidentalis
3330	6	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea glauca
3331	1	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea pungens
3332	3	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea sitchensis
3333	4	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea rubens
3334	1	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea engelmannii
3335	5	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea mariana
3339	4	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus contorta
3340	1	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus edulis
3341	2	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus wallichiana
3342	2	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus krempfii
3343	1	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus lambertiana
3345	3	species	Viridiplantae	Streptophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus monticola
