task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	a6/313d21	1376463	BARBEQUE:OBIPCR_INSILICOPCR (PCR_rbcL|refseq_plastid)	CACHED	0	2026-07-20 08:10:03.186	6.1s	4.5s	465.1%	3.5 GB	8 GB	2.2 GB	26.5 MB
6	25/ad0d31	1375302	BARBEQUE:OBIPCR_INSILICOPCR (intron-region-of-a-transfer-RNA-gene-200-1000|refseq_plastid)	CACHED	0	2026-07-20 08:09:57.194	6s	4.4s	497.3%	3.7 GB	8.2 GB	2.2 GB	28.4 MB
9	a8/c22c47	1377849	BARBEQUE:OBIPCR_INSILICOPCR (PCR_ITS2|refseq_plastid)	CACHED	0	2026-07-20 08:10:09.282	6.2s	4.3s	467.8%	4.1 GB	8.6 GB	2.2 GB	1022 B
12	01/ad5772	1379172	BARBEQUE:OBIPCR_INSILICOPCR (PCR_psbA-trnH|refseq_plastid)	CACHED	0	2026-07-20 08:10:15.510	5.7s	4.1s	486.8%	4.1 GB	8.6 GB	2.2 GB	18.2 MB
5	34/36f935	1371091	BARBEQUE:OBIPCR_INSILICOPCR (intron-region-of-a-transfer-RNA-gene-133-tnrl|refseq_plastid)	CACHED	0	2026-07-20 08:09:29.728	21.1s	19.5s	141.6%	3.5 GB	8 GB	2.2 GB	11.5 MB
11	ab/4d3dc0	1381461	BARBEQUE:OBIPCR_INSILICOPCR (PCR_trnL|refseq_plastid)	CACHED	0	2026-07-20 08:10:27.054	5.7s	4.1s	487.6%	3.9 GB	8.5 GB	2.2 GB	28.4 MB
2	27/592ad5	1371097	BARBEQUE:BUILD_DB_TAXIDS (refseq_plastid)	CACHED	0	2026-07-20 08:09:29.742	4m 33s	4m 31s	89.2%	17.5 MB	82.9 MB	15.1 GB	2.4 MB
4	10/e087de	1383869	BARBEQUE:OBIPCR_INSILICOPCR (Rubisco-ribulose-1,5-bisphosphate-carboxylase_oxygenase-large-subunit-180|refseq_plastid)	CACHED	0	2026-07-20 08:10:38.587	5.7s	4.1s	486.7%	3.9 GB	8.3 GB	2.2 GB	15.9 MB
3	5b/26b558	1374109	BARBEQUE:OBIPCR_INSILICOPCR (ITS2_collapsed|refseq_plastid)	CACHED	0	2026-07-20 08:09:50.886	6.3s	4.5s	466.2%	3.8 GB	8.1 GB	2.2 GB	1022 B
7	41/ddcb08	1380321	BARBEQUE:OBIPCR_INSILICOPCR (Internal-transcribed-spacer-region-2-480|refseq_plastid)	CACHED	0	2026-07-20 08:10:21.264	5.8s	4.2s	473.2%	3.9 GB	8.3 GB	2.2 GB	1022 B
1	22/a86047	943252	BARBEQUE:STAGE_SAMPLESHEET (1)	CACHED	0	2026-07-19 08:39:42.464	1.6s	5ms	71.4%	0	0	60.9 KB	214 B
8	ef/e47e4e	1382632	BARBEQUE:OBIPCR_INSILICOPCR (PCR_ITS1|refseq_plastid)	CACHED	0	2026-07-20 08:10:32.789	5.8s	4.2s	468.5%	3.7 GB	8.2 GB	2.2 GB	1022 B
22	38/3e5ae2	1382714	BARBEQUE:PARSE_OBIPCR (PCR_trnL|refseq_plastid)	CACHED	0	2026-07-20 08:10:33.797	4.8s	3.1s	99.5%	35.9 MB	45.3 MB	7.6 MB	5.9 MB
21	73/e30d41	1385493	BARBEQUE:PARSE_OBIPCR (Rubisco-ribulose-1,5-bisphosphate-carboxylase_oxygenase-large-subunit-180|refseq_plastid)	CACHED	0	2026-07-20 08:10:45.911	3.5s	2s	98.9%	27.4 MB	36.1 MB	4.9 MB	3.4 MB
18	62/ba6f23	1384194	BARBEQUE:PARSE_OBIPCR (PCR_ITS1|refseq_plastid)	CACHED	0	2026-07-20 08:10:40.215	1.6s	37ms	119.0%	3.2 MB	6.8 MB	725.4 KB	1.2 KB
15	05/f23d0b	1396946	BARBEQUE:DB_DISTRIBUTION (refseq_plastid)	CACHED	0	2026-07-20 08:14:02.312	51.7s	50s	92.4%	2.4 GB	3.1 GB	671.6 MB	11.6 MB
13	0e/087632	1385078	BARBEQUE:OBIPCR_INSILICOPCR (PCR_matK|refseq_plastid)	CACHED	0	2026-07-20 08:10:44.253	5.8s	4.1s	470.4%	4 GB	8.5 GB	2.2 GB	391.3 KB
20	de/800f7b	1375378	BARBEQUE:PARSE_OBIPCR (ITS2_collapsed|refseq_plastid)	CACHED	0	2026-07-20 08:09:58.067	1.6s	46ms	84.7%	3.3 MB	6.8 MB	725.4 KB	1.2 KB
19	f7/ce78b6	1381598	BARBEQUE:PARSE_OBIPCR (Internal-transcribed-spacer-region-2-480|refseq_plastid)	CACHED	0	2026-07-20 08:10:27.682	1.7s	39ms	108.7%	3.2 MB	6.8 MB	725.4 KB	1.2 KB
29	ba/8f8cac	1388848	BARBEQUE:VSEARCH_CLUSTER_FAST (PCR_trnL|refseq_plastid)	CACHED	0	2026-07-20 08:11:04.738	4.6s	3.1s	343.8%	64.1 MB	685.7 MB	4 MB	580.9 KB
32	25/d2b811	1386842	BARBEQUE:VSEARCH_CLUSTER_FAST (intron-region-of-a-transfer-RNA-gene-200-1000|refseq_plastid)	CACHED	0	2026-07-20 08:10:51.929	4.6s	3s	325.5%	65.1 MB	685.7 MB	4 MB	581 KB
31	ba/bfd458	1388161	BARBEQUE:VSEARCH_CLUSTER_FAST (PCR_psbA-trnH|refseq_plastid)	CACHED	0	2026-07-20 08:11:00.598	4.1s	2.6s	336.1%	75.7 MB	677.7 MB	2.7 MB	359.9 KB
33	7a/61ddba	1389764	BARBEQUE:VSEARCH_CLUSTER_FAST (PCR_matK|refseq_plastid)	CACHED	0	2026-07-20 08:11:11.374	1.6s	144ms	202.5%	57.6 MB	671.9 MB	188.6 KB	4.7 KB
23	46/74cf95	1389579	BARBEQUE:VSEARCH_CLUSTER_FAST (Rubisco-ribulose-1,5-bisphosphate-carboxylase_oxygenase-large-subunit-180|refseq_plastid)	CACHED	0	2026-07-20 08:11:09.299	2.1s	560ms	339.6%	15.3 MB	685.7 MB	1.7 MB	419.3 KB
17	88/4e4b7a	1387655	BARBEQUE:VSEARCH_CLUSTER_FAST (PCR_rbcL|refseq_plastid)	CACHED	0	2026-07-20 08:10:56.571	4s	2.4s	398.8%	37.1 MB	685.7 MB	4 MB	355.2 KB
30	03/8efb86	1386342	BARBEQUE:VSEARCH_CLUSTER_FAST (intron-region-of-a-transfer-RNA-gene-133-tnrl|refseq_plastid)	CACHED	0	2026-07-20 08:10:50.059	1.9s	283ms	212.4%	21.7 MB	685.7 MB	731.2 KB	479.2 KB
34	f1/72fab2	1389607	BARBEQUE:PARSE_UC (PCR_trnL|refseq_plastid)	CACHED	0	2026-07-20 08:11:10.310	1.6s	57ms	103.9%	3.3 MB	6.8 MB	841.2 KB	294.6 KB
41	19/bbfe88	1390088	BARBEQUE:PARSE_UC (Rubisco-ribulose-1,5-bisphosphate-carboxylase_oxygenase-large-subunit-180|refseq_plastid)	CACHED	0	2026-07-20 08:11:11.943	1.7s	60ms	109.8%	3.3 MB	6.8 MB	644 KB	223.3 KB
39	e9/966323	1390302	BARBEQUE:PARSE_UC (PCR_matK|refseq_plastid)	CACHED	0	2026-07-20 08:11:13.034	1.6s	18ms	111.1%	0	0	119.3 KB	3.1 KB
42	21/803cf3	1387072	BARBEQUE:PARSE_UC (intron-region-of-a-transfer-RNA-gene-133-tnrl|refseq_plastid)	CACHED	0	2026-07-20 08:10:53.485	1.9s	49ms	89.6%	3.3 MB	6.8 MB	725 KB	265.5 KB
46	41/6f5ccc	1376671	BARBEQUE:PARSE_OBIPCR (intron-region-of-a-transfer-RNA-gene-200-1000|refseq_plastid)	CACHED	0	2026-07-20 08:10:04.199	4.3s	2.7s	99.2%	38.8 MB	48.3 MB	7.6 MB	5.9 MB
35	59/21e9ec	1387715	BARBEQUE:PARSE_UC (intron-region-of-a-transfer-RNA-gene-200-1000|refseq_plastid)	CACHED	0	2026-07-20 08:10:57.584	1.8s	51ms	96.8%	3.3 MB	6.8 MB	841.3 KB	294.6 KB
45	5c/0a10af	1396975	BARBEQUE:JOIN_ACCESSION_TAXONOMY (PCR_trnL|refseq_plastid)	CACHED	0	2026-07-20 08:14:02.351	1.9s	77ms	51.7%	3.2 MB	6.8 MB	514 KB	219.3 KB
40	19/7a381c	1388166	BARBEQUE:PARSE_UC (PCR_rbcL|refseq_plastid)	CACHED	0	2026-07-20 08:11:00.604	1.7s	34ms	90.9%	3.2 MB	6.8 MB	562.7 KB	188.8 KB
36	2a/a9cd43	1388853	BARBEQUE:PARSE_UC (PCR_psbA-trnH|refseq_plastid)	CACHED	0	2026-07-20 08:11:04.750	1.7s	66ms	52.6%	3.3 MB	6.8 MB	559.3 KB	172.7 KB
47	44/af0c6e	1386809	BARBEQUE:PARSE_OBIPCR (PCR_matK|refseq_plastid)	CACHED	0	2026-07-20 08:10:51.785	1.7s	79ms	98.9%	13.8 MB	23.1 MB	813.3 KB	81.5 KB
44	c9/b32ebb	1379343	BARBEQUE:PARSE_OBIPCR (PCR_ITS2|refseq_plastid)	CACHED	0	2026-07-20 08:10:16.658	1.8s	38ms	81.6%	0	0	725.4 KB	1.2 KB
38	6a/4caeac	1386347	BARBEQUE:AMPLICON_LENGTH (PCR_matK|refseq_plastid)	CACHED	0	2026-07-20 08:10:50.067	1.7s	87ms	95.2%	32.7 MB	1.3 GB	153.8 KB	1.5 KB
48	2a/c82ba5	1396977	BARBEQUE:JOIN_ACCESSION_TAXONOMY (Rubisco-ribulose-1,5-bisphosphate-carboxylase_oxygenase-large-subunit-180|refseq_plastid)	CACHED	0	2026-07-20 08:14:02.356	1.9s	61ms	63.3%	0	0	478.7 KB	172.4 KB
27	36/ef2fc7	1374784	BARBEQUE:PARSE_OBIPCR (intron-region-of-a-transfer-RNA-gene-133-tnrl|refseq_plastid)	CACHED	0	2026-07-20 08:09:53.968	4.1s	2s	90.8%	27.9 MB	37.1 MB	4.1 MB	2.5 MB
43	7c/eac8b5	1380386	BARBEQUE:PARSE_OBIPCR (PCR_psbA-trnH|refseq_plastid)	CACHED	0	2026-07-20 08:10:22.272	3.6s	2s	100.2%	24.3 MB	33.8 MB	5.1 MB	3.8 MB
16	15/b25456	1379123	BARBEQUE:AMPLICON_LENGTH (PCR_rbcL|refseq_plastid)	CACHED	0	2026-07-20 08:10:14.804	1.8s	94ms	87.7%	3.2 MB	6.8 MB	4 MB	113.6 KB
24	35/f8cee7	1385084	BARBEQUE:AMPLICON_LENGTH (Rubisco-ribulose-1,5-bisphosphate-carboxylase_oxygenase-large-subunit-180|refseq_plastid)	CACHED	0	2026-07-20 08:10:44.261	1.6s	80ms	125.0%	3.3 MB	6.8 MB	1.7 MB	134.8 KB
50	7c/e37e41	1396969	BARBEQUE:JOIN_ACCESSION_TAXONOMY (PCR_rbcL|refseq_plastid)	CACHED	0	2026-07-20 08:14:02.345	1.9s	54ms	60.2%	3.3 MB	6.8 MB	461.2 KB	146.1 KB
53	e8/631c38	1396951	BARBEQUE:JOIN_ACCESSION_TAXONOMY (intron-region-of-a-transfer-RNA-gene-200-1000|refseq_plastid)	CACHED	0	2026-07-20 08:14:02.321	2s	63ms	59.5%	3.3 MB	6.8 MB	514.2 KB	219.3 KB
37	5d/3b460c	1377632	BARBEQUE:AMPLICON_LENGTH (intron-region-of-a-transfer-RNA-gene-200-1000|refseq_plastid)	CACHED	0	2026-07-20 08:10:08.551	1.6s	92ms	110.1%	3.2 MB	6.8 MB	3.9 MB	159.9 KB
