German name	lat.	taxid	taxonomic_rank	Grundlage
Tee	Camellia sinensis	4442	species	LFGB Leitsätze Tee
Anis	Pimpinella anisum	271192	species	LFGB Leitsätze Tee - Pflanzen
Apfel	Malus domestica	3750	species	LFGB Leitsätze Tee - Pflanzen
Apfel	Malus sylvestris	3752	species	LFGB Leitsätze Tee - Pflanzen
Apfelminze	Mentha suaveolens	38860	species	LFGB Leitsätze Tee - Pflanzen
Aronia	Aronia melanocarpa	661339	species	LFGB Leitsätze Tee - Pflanzen
Griechisches Eisenkraut	Sideritis spp.	155231	genus	LFGB Leitsätze Tee - Pflanzen
Brennnessel	Urtica spp.	3500	genus	LFGB Leitsätze Tee - Pflanzen
Brombeere	Rubus fruticosus	211815	species	LFGB Leitsätze Tee - Pflanzen
Brombeere, süß	Rubus chingii	714495	species	LFGB Leitsätze Tee - Pflanzen
Cranberry	Vaccinium macrocarpon	13750	species	LFGB Leitsätze Tee - Pflanzen
Erdbeere	Fragaria x ananassa 	3747	species	LFGB Leitsätze Tee - Pflanzen
Eukalyptus	Eucalyptus globulus	34317	species	LFGB Leitsätze Tee - Pflanzen
Färberdistel/Saflor	Carthamus tinctorius	4222	species	LFGB Leitsätze Tee - Pflanzen
Fenchel	Foeniculum vulgare	2849586	species	LFGB Leitsätze Tee - Pflanzen
Gänseblümchen	Bellis perennis	41492	species	LFGB Leitsätze Tee - Pflanzen
Ginkgo	Ginkgo biloba	3311	species	LFGB Leitsätze Tee - Pflanzen
Ginseng	Panax ginseng	4054	species	LFGB Leitsätze Tee - Pflanzen
Grapefruit	Citrus paradisi	37656	species	LFGB Leitsätze Tee - Pflanzen
Hagebutte	Rosa canina	74635	species	LFGB Leitsätze Tee - Pflanzen
Haselnuss	Corylus avellana	13451	species	LFGB Leitsätze Tee - Pflanzen
Heidelbeere, Blaubeere	Vaccinium myrtillus	180763	species	LFGB Leitsätze Tee - Pflanzen
Hibiskus	Hibiscus sabdariffa	183260	species	LFGB Leitsätze Tee - Pflanzen
Himbeere	Rubus idaeus	32247	species	LFGB Leitsätze Tee - Pflanzen
Holunder	Sambucus nigra	4202	species	LFGB Leitsätze Tee - Pflanzen
Honigbusch	Cyclopia genistoides	70073	species	LFGB Leitsätze Tee - Pflanzen
Honigbusch	Cyclopia intermedia	384038	species	LFGB Leitsätze Tee - Pflanzen
Honigbusch	Cyclopia sessiliflora	337842	species	LFGB Leitsätze Tee - Pflanzen
Honigbusch	Cyclopia subternata	155109	species	LFGB Leitsätze Tee - Pflanzen
Ingwer	Zingiber officinale	94328	species	LFGB Leitsätze Tee - Pflanzen
Jasmin	Jasminum officinale	126433	species	LFGB Leitsätze Tee - Pflanzen
Johannisbeere	Ribes nigrum	78511	species	LFGB Leitsätze Tee - Pflanzen
Kamille	Matricaria recutita	127986	varietas	LFGB Leitsätze Tee - Pflanzen
Katzenpfötchen	Helichrysum arenarium	261776	species	LFGB Leitsätze Tee - Pflanzen
Kornblume	Centaurea cyanus	41522	species	LFGB Leitsätze Tee - Pflanzen
Krauseminze/Minze	Mentha spicata	29719	species	LFGB Leitsätze Tee - Pflanzen
Kulturheidelbeere	Vaccinium corymbosum	69266	species	LFGB Leitsätze Tee - Pflanzen
Limette/Limone	Citrus x aurantiifolia	159033	species	LFGB Leitsätze Tee - Pflanzen
Linde	Tilia cordata	172266	species	LFGB Leitsätze Tee - Pflanzen
Linde	Tilia platyphyllos	82423	species	LFGB Leitsätze Tee - Pflanzen
Linde	Tilia tomentosa	121718	species	LFGB Leitsätze Tee - Pflanzen
Löwenzahn	Taraxacum officinale	50225	species	LFGB Leitsätze Tee - Pflanzen
Malve	Malva sylvestris	145754	species	LFGB Leitsätze Tee - Pflanzen
Mandarine	Citrus reticulata	85571	species	LFGB Leitsätze Tee - Pflanzen
Märzveilchen	Viola odorata	97441	species	LFGB Leitsätze Tee - Pflanzen
Melisse	Melissa officinalis	39338	species	LFGB Leitsätze Tee - Pflanzen
Orange	Citrus sinensis	2711	species	LFGB Leitsätze Tee - Pflanzen
