0	KC861766	1286291	Crataegus aemula	Crataegus aemula	1286291	species	Crataegus aemula
1	MG236070	2071434	Crataegus populnea	Crataegus populnea	2071434	species	Crataegus populnea
2	JN388079	4373	Drosophyllum lusitanicum	Drosophyllum lusitanicum	4373	species	Drosophyllum lusitanicum
3	AB076240	182486	Cycas micholitzii	Cycas micholitzii	182486	species	Cycas micholitzii
4	JN388060	173395	Drosera chrysolepis	Drosera chrysolepis	173395	species	Drosera chrysolepis
5	MF785331	1548302	Mendoncia hoffmannseggiana	Mendoncia hoffmannseggiana	1548302	species	Mendoncia hoffmannseggiana
6	JN388067	16680	Drosera indica	Drosera indica	16680	species	Drosera indica
7	OL537325	382133	Beschorneria rigida	Beschorneria rigida	382133	species	Beschorneria rigida
8	MF785426	2054694	Euceraea sp. US:Redden7267	Euceraea sp. US:Redden7267	2054694	species	Euceraea sp. US:Redden7267
9	MH763716	2570255	Cuatresia plowmanii	Cuatresia plowmanii	2570255	species	Cuatresia plowmanii
10	MK511103	416029	Cryptochloa strictiflora	Cryptochloa strictiflora	416029	species	Cryptochloa strictiflora
10	MK511104	416029	Cryptochloa strictiflora	Cryptochloa strictiflora	416029	species	Cryptochloa strictiflora
11	KC861781	510715	Crataegus chrysocarpa	Crataegus	23159	genus	Crataegus chrysocarpa;Crataegus macracantha var. occidentalis
11	KC861830	1286299	Crataegus macracantha var. occidentalis	Crataegus	23159	genus	Crataegus chrysocarpa;Crataegus macracantha var. occidentalis
12	KC861795	510722	Crataegus erythropoda	Crataegus	23159	genus	Crataegus erythropoda;Crataegus rivularis
12	KC861796	510722	Crataegus erythropoda	Crataegus	23159	genus	Crataegus erythropoda;Crataegus rivularis
12	KC861868	193313	Crataegus rivularis	Crataegus	23159	genus	Crataegus erythropoda;Crataegus rivularis
12	KC861869	193313	Crataegus rivularis	Crataegus	23159	genus	Crataegus erythropoda;Crataegus rivularis
12	KC861871	193313	Crataegus rivularis	Crataegus	23159	genus	Crataegus erythropoda;Crataegus rivularis
12	KC861872	193313	Crataegus rivularis	Crataegus	23159	genus	Crataegus erythropoda;Crataegus rivularis
12	KC861873	193313	Crataegus rivularis	Crataegus	23159	genus	Crataegus erythropoda;Crataegus rivularis
12	KC861874	193313	Crataegus rivularis	Crataegus	23159	genus	Crataegus erythropoda;Crataegus rivularis
12	KC861875	193313	Crataegus rivularis	Crataegus	23159	genus	Crataegus erythropoda;Crataegus rivularis
13	KC861768	1286292	Crataegus aquacervensis	Crataegus	23159	genus	Crataegus aquacervensis;Crataegus macracantha;Crataegus rivuloadamensis
