taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
2708	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus x limon
2709	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus cavaleriei
2711	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus sinensis
2762	1	species			Glaucocystophyceae	Cyanophorales	Cyanophoraceae	Cyanophora	Cyanophora paradoxa
2769	1	species		Rhodophyta	Florideophyceae	Gigartinales	Gigartinaceae	Chondrus	Chondrus crispus
2771	1	species		Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Cyanidium	Cyanidium caldarium
2777	1	species		Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	Gracilaria	Gracilaria gracilis
2779	1	species		Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	Gracilaria	Gracilaria tikvahiae
2782	1	species		Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	Gracilariopsis	Gracilariopsis lemaneiformis
2786	1	species		Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Porphyra	Porphyra umbilicalis
2787	1	species		Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Porphyra	Porphyra purpurea
2788	1	species		Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	Pyropia yezoensis
2792	1	species		Rhodophyta	Bangiophyceae	Porphyridiales	Porphyridiaceae	Porphyridium	Porphyridium aerugineum
2801	1	species		Rhodophyta	Rhodellophyceae	Rhodellales	Rhodellaceae	Rhodella	Rhodella violacea
2822	1	species		Rhodophyta	Florideophyceae	Palmariales	Palmariaceae	Palmaria	Palmaria palmata
2829	1	species			Raphidophyceae	Chattonellales	Chattonellaceae	Heterosigma	Heterosigma akashiwo
2843	1	species		Bacillariophyta	Thalassiosirophyceae	Thalassiosirales	Thalassiosiraceae	Skeletonema	Skeletonema costatum
2850	1	species		Bacillariophyta	Bacillariophyceae	Surirellales	Neidiaceae	Phaeodactylum	Phaeodactylum tricornutum
2856	1	species		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium
2858	1	species		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia alba
2872	1	species			Phaeophyceae	Laminariales	Agaraceae	Costaria	Costaria costata
2880	1	species			Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus	Ectocarpus siliculosus
2889	1	species			Phaeophyceae	Laminariales	Alariaceae	Alaria	Alaria esculenta
